Title line:"" 
BL17	
BL11	
BL12	
BL2	
BL4	
BL1	
BL14	
BL8	
BL29	
BL22	
BL25	
BL30	
BL20	
Pop	
1,	0610 0101 0000 0303 0101 0612 0404 1212 0202 0101 0207 0202 0911
2,	0606 0102 0000 0303 0101 0000 0000 1212 0202 0101 0000 0202 0707
3,	0110 0102 0000 0303 0101 0711 0304 0816 0202 0101 0606 0202 0707
4,	1010 0102 0000 0303 0101 0612 0404 1212 0202 0101 0207 0202 0911
5,	0610 0102 0000 0303 0107 0306 0000 0812 0202 0101 0606 0202 0911
6,	0000 0102 0000 0303 0101 0611 0000 1212 0202 0101 0607 0202 0709
7,	0610 0102 0000 0303 0101 0000 0000 1212 0202 0101 0000 0202 0707
8,	1010 0102 0000 0303 0101 0308 0404 1616 0202 0101 0206 0202 0909
9,	0303 0104 0000 0303 0707 0508 0304 0808 0202 0101 0306 0202 0911
10,	0306 0102 0000 0303 0104 0708 0405 0816 0202 0101 0606 0202 0707
11,	0610 0102 0000 0303 0107 0608 0404 0812 0202 0101 0306 0202 0707
12,	0101 0102 0000 0303 0101 0606 0404 0810 0202 0101 0606 0202 0707
13,	0303 0102 0000 0303 0107 0312 0405 1313 0202 0101 0000 0202 0711
14,	0310 0102 0000 0303 0101 0607 0304 1013 0202 0101 0606 0202 1111
15,	0606 0100 0000 0303 0107 0711 0000 0000 0202 0101 0000 0202 1111
16,	0303 0102 0000 0303 0107 0507 0404 1212 0202 0101 0306 0202 0711
17,	0303 0102 0000 0303 0101 0606 0304 1212 0202 0101 0607 0202 0711
18,	0106 0102 0000 0303 0104 0808 0000 1216 0202 0101 0606 0202 0707
19,	0613 0101 0000 0303 0507 0406 0404 1010 0202 0101 0202 0202 0707
Pop	
20,	0606 0104 0303 0304 0101 0510 0404 1012 0202 0101 0607 0202 0707
21,	0306 0101 0103 0304 0101 0808 0404 1414 0202 0101 0208 0202 0407
22,	0303 0101 0303 0304 0101 0410 0404 1414 0202 0101 0202 0202 0707
23,	0306 0104 0103 0303 0101 0808 0404 1414 0202 0101 0606 0202 0707
24,	0606 0104 0303 0304 0101 0810 0404 1010 0202 0101 0206 0202 0707
25,	0606 0101 0303 0303 0101 0510 0404 1012 0202 0101 0607 0202 0707
26,	0606 0000 0303 0203 0101 0505 0404 1214 0202 0101 0406 0202 0707
27,	0306 0101 0303 0303 0101 0410 0404 1014 0202 0101 0206 0202 0909
28,	0306 0404 0103 0303 0101 0808 0404 1010 0202 0101 0206 0202 0707
29,	0606 0101 0103 0303 0101 0710 0404 1114 0202 0101 0606 0202 0707
30,	0606 0101 0303 0303 0101 0508 0404 1111 0202 0101 0206 0202 0707
31,	0311 0101 0303 0304 0101 0808 0404 1111 0202 0101 0206 0202 0707
32,	0312 0104 0303 0303 0108 0707 0404 1114 0202 0101 0606 0202 0707
33,	0606 0204 0303 0303 0101 0710 0404 1114 0202 0101 0206 0202 0707
34,	0306 0104 0303 0303 0101 0810 0404 1012 0202 0101 0808 0202 0909
35,	0306 0101 0303 0303 0101 0508 0404 1012 0202 0101 0606 0202 0507
36,	0606 0404 0303 0303 0101 0810 0404 1314 0202 0101 0606 0202 0410
37,	0610 0101 0303 0303 0101 0707 0404 1012 0202 0101 0206 0202 0707
38,	0306 0404 0303 0304 0101 0508 0304 1010 0202 0101 0608 0202 0707
39,	0606 0202 0303 0303 0101 0508 0304 1114 0202 0101 0208 0202 0707
40,	0606 0404 0203 0303 0101 0808 0404 1212 0202 0101 0202 0202 0000
41,	0606 0404 0303 0303 0104 0808 0304 1415 0202 0101 0207 0202 0909
42,	0606 0404 0303 0303 0101 0808 0404 1314 0202 0101 0606 0202 0410
Pop	
43,	0608 0204 0303 0303 0104 0808 0404 0514 0202 0101 0606 0202 0505
44,	0808 0204 0303 0303 0404 0710 0404 0813 0202 0101 0606 0202 0707
45,	0808 0204 0303 0303 0404 0710 0404 0813 0202 0101 0606 0202 0707
46,	0606 0202 0103 0303 0404 0710 0404 1313 0202 0101 0606 0202 0707
47,	0606 0204 0303 0303 0101 0810 0404 0513 0202 0101 0606 0202 0707
48,	0505 0202 0103 0303 0101 0810 0404 0513 0202 0101 0206 0202 0207
49,	0808 0204 0303 0303 0404 0707 0404 0513 0202 0101 0507 0202 0909
50,	0609 0102 0303 0303 0404 0607 0404 1414 0202 0101 0607 0202 0707
51,	0506 0103 0103 0303 0104 0707 0404 0510 0202 0101 0207 0202 0909
52,	0508 0404 0103 0303 0303 0609 0404 1313 0202 0101 0202 0202 0909
53,	0808 0204 0303 0303 0404 0810 0404 1017 0202 0101 0202 0202 0707
54,	0608 0404 0103 0303 0104 0810 0404 1010 0202 0101 0606 0202 0707
55,	0608 0101 0103 0303 0104 0709 0404 1017 0202 0101 0606 0202 0707
56,	0606 0104 0103 0303 0409 0709 0404 0000 0202 0101 0202 0202 0707
57,	0508 0104 0303 0303 0110 0808 0404 1114 0202 0101 0507 0202 0707
58,	0606 0202 0303 0303 0409 0808 0404 0000 0202 0101 0606 0202 0707
59,	0606 0104 0303 0303 0710 0707 0404 0909 0202 0101 0206 0202 0707
60,	0608 0104 0303 0303 0104 0707 0404 1113 0202 0101 0606 0202 0303
61,	0608 0202 0303 0303 0104 1010 0404 1113 0202 0101 0606 0202 0303
62,	0812 0204 0303 0303 0104 1010 0404 1017 0202 0101 0607 0202 0303
63,	0808 0204 0303 0303 0104 0810 0404 1017 0202 0101 0607 0202 0707
64,	0808 0104 0303 0303 0104 0707 0404 0711 0202 0101 0607 0202 0303
65,	0606 0104 0203 0303 0909 0810 0104 0313 0202 0101 0606 0202 0707
Pop	
66,	0506 0404 0303 0303 0101 0810 0404 1818 0202 0101 0607 0202 0707
67,	0606 0404 0103 0303 0404 1010 0404 0718 0202 0101 0607 0202 0707
68,	0606 0404 0303 0000 0104 0808 0404 1313 0202 0101 0507 0202 0507
69,	0511 0104 0303 0203 0104 0710 0404 1313 0202 0101 0607 0202 0507
70,	0606 0404 0303 0303 0109 0808 0404 1313 0202 0101 0606 0202 0707
71,	0606 0104 0303 0303 0101 0810 0404 1318 0202 0101 0202 0202 0507
72,	0608 0101 0303 0203 0109 1010 0404 0509 0202 0101 0206 0202 0507
73,	0508 0000 0303 0303 0101 0909 0404 1313 0202 0101 0707 0202 0707
74,	0606 0101 0303 0303 0101 0810 0404 1313 0202 0101 0607 0202 0707
75,	0606 0404 0103 0303 0101 0909 0404 1818 0202 0101 0207 0202 0707
76,	0606 0101 0303 0303 0101 1010 0404 1318 0202 0101 0606 0202 0707
77,	0506 0101 0000 0000 0101 1010 0404 0000 0202 0101 0000 0202 0507
78,	0808 0101 0303 0000 0101 1010 0404 1313 0202 0101 0000 0202 0505
